"d1_code"	"d2_code"	"d1_name"	"d2_name"	"direction_yes_no"	"n_dir12"	"n_dir21"	"n_total"
"O70"	"M18"	"Perineal laceration during delivery"	"Osteoarthritis of first carpometacarpal joint"	1	68	0	68
"O70"	"M20"	"Perineal laceration during delivery"	"Acquired deformities of fingers and toes"	1	1014	465	1479
"O70"	"M25"	"Perineal laceration during delivery"	"Other joint disorder, not elsewhere classified"	1	1958	408	2366
"O70"	"M34"	"Perineal laceration during delivery"	"Systemic sclerosis [scleroderma]"	1	32	2	34
"O70"	"M43"	"Perineal laceration during delivery"	"Other deforming dorsopathies"	1	250	102	352
"O70"	"M45"	"Perineal laceration during delivery"	"Ankylosing spondylitis"	1	173	30	203
"O70"	"M46"	"Perineal laceration during delivery"	"Other inflammatory spondylopathies"	1	391	22	413
"O70"	"M48"	"Perineal laceration during delivery"	"Other spondylopathies"	1	163	0	163
"O70"	"M50"	"Perineal laceration during delivery"	"Cervical disc disorders"	1	741	0	741
"O70"	"M51"	"Perineal laceration during delivery"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	1	3413	0	3413
"O70"	"M70"	"Perineal laceration during delivery"	"Soft tissue disorders related to use, overuse and pressure"	1	753	259	1012
"O70"	"M71"	"Perineal laceration during delivery"	"Other bursopathies"	1	171	81	252
"O70"	"M75"	"Perineal laceration during delivery"	"Shoulder lesions"	1	2757	0	2757
"O70"	"M79"	"Perineal laceration during delivery"	"Oth and unsp soft tissue disorders, not elsewhere classified"	1	3257	1889	5146
"O70"	"M96"	"Perineal laceration during delivery"	"Intraop and postproc comp and disorders of ms sys, NEC"	1	64	0	64
"O70"	"M99"	"Perineal laceration during delivery"	"Biomechanical lesions, not elsewhere classified"	1	329	0	329
"O70"	"N18"	"Perineal laceration during delivery"	"Chronic kidney disease (CKD)"	1	125	0	125
"O70"	"N36"	"Perineal laceration during delivery"	"Other disorders of urethra"	1	137	57	194
"O70"	"N60"	"Perineal laceration during delivery"	"Benign mammary dysplasia"	1	1869	378	2247
"O70"	"N61"	"Perineal laceration during delivery"	"Inflammatory disorders of breast"	1	825	134	959
"O70"	"N75"	"Perineal laceration during delivery"	"Diseases of Bartholin's gland"	1	701	388	1089
"O70"	"N81"	"Perineal laceration during delivery"	"Female genital prolapse"	1	6620	0	6620
"O70"	"N83"	"Perineal laceration during delivery"	"Noninflammatory disord of ovary, fallop and broad ligament"	1	2789	1597	4386
"O70"	"N92"	"Perineal laceration during delivery"	"Excessive, frequent and irregular menstruation"	1	7894	0	7894
"O70"	"N93"	"Perineal laceration during delivery"	"Other abnormal uterine and vaginal bleeding"	1	3703	0	3703
"O70"	"N99"	"Perineal laceration during delivery"	"Intraop and postproc comp and disorders of GU sys, NEC"	1	1022	180	1202
"O70"	"O91"	"Perineal laceration during delivery"	"Infect of breast assoc w pregnancy, the puerp and lactation"	1	9139	0	9139
"O70"	"Q61"	"Perineal laceration during delivery"	"Cystic kidney disease"	1	134	16	150
"O71"	"B18"	"Other obstetric trauma"	"Chronic viral hepatitis"	1	49	9	58
"O71"	"C50"	"Other obstetric trauma"	"Malignant neoplasm of breast"	1	135	0	135
"O71"	"C53"	"Other obstetric trauma"	"Malignant neoplasm of cervix uteri"	1	76	0	76
"O71"	"C73"	"Other obstetric trauma"	"Malignant neoplasm of thyroid gland"	1	26	0	26
"O71"	"C77"	"Other obstetric trauma"	"Secondary and unspecified malignant neoplasm of lymph nodes"	1	35	0	35
"O71"	"C79"	"Other obstetric trauma"	"Secondary malignant neoplasm of other and unspecified sites"	1	26	0	26
"O71"	"D12"	"Other obstetric trauma"	"Benign neoplasm of colon, rectum, anus and anal canal"	1	96	0	96
"O71"	"D13"	"Other obstetric trauma"	"Benign neoplasm of and ill-defined parts of digestive system"	1	29	0	29
"O71"	"D17"	"Other obstetric trauma"	"Benign lipomatous neoplasm"	1	256	0	256
"O71"	"D69"	"Other obstetric trauma"	"Purpura and other hemorrhagic conditions"	1	88	22	110
"O71"	"E04"	"Other obstetric trauma"	"Other nontoxic goiter"	1	494	1	495
"O71"	"E05"	"Other obstetric trauma"	"Thyrotoxicosis [hyperthyroidism]"	1	414	53	467
"O71"	"E11"	"Other obstetric trauma"	"Type 2 diabetes mellitus"	1	100	0	100
"O71"	"E21"	"Other obstetric trauma"	"Hyperparathyroidism and other disorders of parathyroid gland"	1	30	0	30
"O71"	"E23"	"Other obstetric trauma"	"Hypofunction and other disorders of the pituitary gland"	1	25	0	25
"O71"	"E65"	"Other obstetric trauma"	"Localized adiposity"	1	262	0	262
"O71"	"E78"	"Other obstetric trauma"	"Disorders of lipoprotein metabolism and other lipidemias"	1	73	0	73
"O71"	"F17"	"Other obstetric trauma"	"Nicotine dependence"	1	189	0	189
"O71"	"F33"	"Other obstetric trauma"	"Major depressive disorder, recurrent"	1	159	6	165
"O71"	"F43"	"Other obstetric trauma"	"Reaction to severe stress, and adjustment disorders"	1	261	0	261
"O71"	"G43"	"Other obstetric trauma"	"Migraine"	1	458	72	530
"O71"	"G44"	"Other obstetric trauma"	"Other headache syndromes"	1	373	18	391
"O71"	"G45"	"Other obstetric trauma"	"Transient cerebral ischemic attacks and related syndromes"	1	68	0	68
"O71"	"G47"	"Other obstetric trauma"	"Sleep disorders"	1	116	0	116
"O71"	"G50"	"Other obstetric trauma"	"Disorders of trigeminal nerve"	1	42	0	42
"O71"	"G51"	"Other obstetric trauma"	"Facial nerve disorders"	1	59	12	71
"O71"	"G56"	"Other obstetric trauma"	"Mononeuropathies of upper limb"	1	748	18	766
"O71"	"G62"	"Other obstetric trauma"	"Other and unspecified polyneuropathies"	1	35	0	35
"O71"	"G93"	"Other obstetric trauma"	"Other disorders of brain"	1	28	0	28
"O71"	"G96"	"Other obstetric trauma"	"Other disorders of central nervous system"	1	149	0	149
"O71"	"H52"	"Other obstetric trauma"	"Disorders of refraction and accommodation"	1	278	62	340
"O71"	"H53"	"Other obstetric trauma"	"Visual disturbances"	1	92	9	101
"O71"	"H57"	"Other obstetric trauma"	"Other disorders of eye and adnexa"	1	89	0	89
"O71"	"H90"	"Other obstetric trauma"	"Conductive and sensorineural hearing loss"	1	126	26	152
"O71"	"I10"	"Other obstetric trauma"	"Essential (primary) hypertension"	1	341	0	341
"O71"	"I20"	"Other obstetric trauma"	"Angina pectoris"	1	91	0	91
"O71"	"I26"	"Other obstetric trauma"	"Pulmonary embolism"	1	81	0	81
"O71"	"I35"	"Other obstetric trauma"	"Nonrheumatic aortic valve disorders"	1	30	0	30
"O71"	"I42"	"Other obstetric trauma"	"Cardiomyopathy"	1	25	0	25
"O71"	"I47"	"Other obstetric trauma"	"Paroxysmal tachycardia"	1	165	38	203
"O71"	"I48"	"Other obstetric trauma"	"Atrial fibrillation and flutter"	1	53	0	53
"O71"	"I60"	"Other obstetric trauma"	"Nontraumatic subarachnoid hemorrhage"	1	28	1	29
"O71"	"I63"	"Other obstetric trauma"	"Cerebral infarction"	1	58	0	58
"O71"	"I82"	"Other obstetric trauma"	"Other venous embolism and thrombosis"	1	49	0	49
"O71"	"J06"	"Other obstetric trauma"	"Acute upper resp infections of multiple and unsp sites"	1	78	0	78
"O71"	"J34"	"Other obstetric trauma"	"Other and unspecified disorders of nose and nasal sinuses"	1	127	57	184
"O71"	"J44"	"Other obstetric trauma"	"Other chronic obstructive pulmonary disease"	1	54	0	54
"O71"	"J96"	"Other obstetric trauma"	"Respiratory failure, not elsewhere classified"	1	44	0	44
"O71"	"J98"	"Other obstetric trauma"	"Other respiratory disorders"	1	29	2	31
"O71"	"K20"	"Other obstetric trauma"	"Esophagitis"	1	38	0	38
"O71"	"K21"	"Other obstetric trauma"	"Gastro-esophageal reflux disease"	1	290	19	309
"O71"	"K29"	"Other obstetric trauma"	"Gastritis and duodenitis"	1	215	52	267
"O71"	"K43"	"Other obstetric trauma"	"Ventral hernia"	1	165	0	165
"O71"	"K44"	"Other obstetric trauma"	"Diaphragmatic hernia"	1	174	10	184
"O71"	"K56"	"Other obstetric trauma"	"Paralytic ileus and intestinal obstruction without hernia"	1	90	4	94
"O71"	"K60"	"Other obstetric trauma"	"Fissure and fistula of anal and rectal regions"	1	327	47	374
"O71"	"K63"	"Other obstetric trauma"	"Other diseases of intestine"	1	31	0	31
"O71"	"K80"	"Other obstetric trauma"	"Cholelithiasis"	1	1948	0	1948
"O71"	"K83"	"Other obstetric trauma"	"Other diseases of biliary tract"	1	60	3	63
"O71"	"K91"	"Other obstetric trauma"	"Intraop and postproc comp and disorders of dgstv sys, NEC"	1	28	0	28
"O71"	"L08"	"Other obstetric trauma"	"Other local infections of skin and subcutaneous tissue"	1	113	34	147
"O71"	"L30"	"Other obstetric trauma"	"Other and unspecified dermatitis"	1	146	12	158
"O71"	"L40"	"Other obstetric trauma"	"Psoriasis"	1	103	14	117
"O71"	"L50"	"Other obstetric trauma"	"Urticaria"	1	180	62	242
"O71"	"L73"	"Other obstetric trauma"	"Other follicular disorders"	1	93	30	123
"O71"	"L90"	"Other obstetric trauma"	"Atrophic disorders of skin"	1	255	55	310
"O71"	"M02"	"Other obstetric trauma"	"Postinfective and reactive arthropathies"	1	75	25	100
"O71"	"M05"	"Other obstetric trauma"	"Rheumatoid arthritis with rheumatoid factor"	1	83	0	83
"O71"	"M06"	"Other obstetric trauma"	"Other rheumatoid arthritis"	1	90	2	92
"O71"	"M13"	"Other obstetric trauma"	"Other arthritis"	1	129	10	139
"O71"	"M17"	"Other obstetric trauma"	"Osteoarthritis of knee"	1	170	0	170
"O71"	"M19"	"Other obstetric trauma"	"Other and unspecified osteoarthritis"	1	116	0	116
"O71"	"M21"	"Other obstetric trauma"	"Other acquired deformities of limbs"	1	84	29	113
"O71"	"M35"	"Other obstetric trauma"	"Other systemic involvement of connective tissue"	1	163	47	210
"O71"	"M43"	"Other obstetric trauma"	"Other deforming dorsopathies"	1	65	8	73
"O71"	"M47"	"Other obstetric trauma"	"Spondylosis"	1	88	0	88
"O71"	"M50"	"Other obstetric trauma"	"Cervical disc disorders"	1	158	0	158
"O71"	"M54"	"Other obstetric trauma"	"Dorsalgia"	1	1392	180	1572
"O71"	"M75"	"Other obstetric trauma"	"Shoulder lesions"	1	590	0	590
"O71"	"M79"	"Other obstetric trauma"	"Oth and unsp soft tissue disorders, not elsewhere classified"	1	939	160	1099
"O71"	"M85"	"Other obstetric trauma"	"Other disorders of bone density and structure"	1	78	0	78
"O71"	"N30"	"Other obstetric trauma"	"Cystitis"	1	501	318	819
"O71"	"N31"	"Other obstetric trauma"	"Neuromuscular dysfunction of bladder, NEC"	1	32	3	35
"O71"	"N39"	"Other obstetric trauma"	"Other disorders of urinary system"	1	735	0	735
"O71"	"N71"	"Other obstetric trauma"	"Inflammatory disease of uterus, except cervix"	1	469	165	634
"O71"	"N81"	"Other obstetric trauma"	"Female genital prolapse"	1	1082	0	1082
"O71"	"N92"	"Other obstetric trauma"	"Excessive, frequent and irregular menstruation"	1	1609	0	1609
"O71"	"N94"	"Other obstetric trauma"	"Pain and oth cond assoc w fem gntl org and menstrual cycle"	1	882	247	1129
"O71"	"N99"	"Other obstetric trauma"	"Intraop and postproc comp and disorders of GU sys, NEC"	1	138	28	166
"O71"	"O90"	"Other obstetric trauma"	"Complications of the puerperium, not elsewhere classified"	1	1306	938	2244
"O71"	"O92"	"Other obstetric trauma"	"Oth disord of brst/lactatn assoc w pregnancy and the puerp"	1	1269	835	2104
"O71"	"Q65"	"Other obstetric trauma"	"Congenital deformities of hip"	1	59	7	66
"O72"	"C50"	"Postpartum hemorrhage"	"Malignant neoplasm of breast"	1	591	0	591
"O72"	"C53"	"Postpartum hemorrhage"	"Malignant neoplasm of cervix uteri"	1	162	76	238
"O72"	"C77"	"Postpartum hemorrhage"	"Secondary and unspecified malignant neoplasm of lymph nodes"	1	115	21	136
"O72"	"D05"	"Postpartum hemorrhage"	"Carcinoma in situ of breast"	1	80	2	82
"O72"	"E04"	"Postpartum hemorrhage"	"Other nontoxic goiter"	1	1028	755	1783
"O72"	"E65"	"Postpartum hemorrhage"	"Localized adiposity"	1	745	470	1215
"O72"	"E68"	"Postpartum hemorrhage"	"Sequelae of hyperalimentation"	1	585	243	828
"O72"	"E78"	"Postpartum hemorrhage"	"Disorders of lipoprotein metabolism and other lipidemias"	1	302	167	469
"O72"	"H25"	"Postpartum hemorrhage"	"Age-related cataract"	1	83	10	93
"O72"	"I10"	"Postpartum hemorrhage"	"Essential (primary) hypertension"	1	1071	656	1727
"O72"	"I20"	"Postpartum hemorrhage"	"Angina pectoris"	1	231	55	286
"O72"	"I83"	"Postpartum hemorrhage"	"Varicose veins of lower extremities"	1	3026	974	4000
"O72"	"J01"	"Postpartum hemorrhage"	"Acute sinusitis"	1	1359	717	2076
"O72"	"K43"	"Postpartum hemorrhage"	"Ventral hernia"	1	656	229	885
"O72"	"K57"	"Postpartum hemorrhage"	"Diverticular disease of intestine"	1	263	0	263
"O72"	"K64"	"Postpartum hemorrhage"	"Hemorrhoids and perianal venous thrombosis"	1	3989	0	3989
"O72"	"M15"	"Postpartum hemorrhage"	"Polyosteoarthritis"	1	33	0	33
"O72"	"M19"	"Postpartum hemorrhage"	"Other and unspecified osteoarthritis"	1	388	182	570
"O72"	"M47"	"Postpartum hemorrhage"	"Spondylosis"	1	505	96	601
"O72"	"M48"	"Postpartum hemorrhage"	"Other spondylopathies"	1	158	37	195
"O72"	"M50"	"Postpartum hemorrhage"	"Cervical disc disorders"	1	561	203	764
"O72"	"N81"	"Postpartum hemorrhage"	"Female genital prolapse"	1	5099	0	5099
"O72"	"N92"	"Postpartum hemorrhage"	"Excessive, frequent and irregular menstruation"	1	5728	2924	8652
"O72"	"N95"	"Postpartum hemorrhage"	"Menopausal and other perimenopausal disorders"	1	103	0	103
"O72"	"O85"	"Postpartum hemorrhage"	"Puerperal sepsis"	1	2795	2014	4809
"O73"	"D25"	"Retained placenta and membranes, without hemorrhage"	"Leiomyoma of uterus"	1	68	6	74
"O73"	"K62"	"Retained placenta and membranes, without hemorrhage"	"Other diseases of anus and rectum"	1	60	9	69
"O73"	"K80"	"Retained placenta and membranes, without hemorrhage"	"Cholelithiasis"	1	249	76	325
"O73"	"M17"	"Retained placenta and membranes, without hemorrhage"	"Osteoarthritis of knee"	1	40	0	40
"O73"	"M25"	"Retained placenta and membranes, without hemorrhage"	"Other joint disorder, not elsewhere classified"	1	79	21	100
"O73"	"M50"	"Retained placenta and membranes, without hemorrhage"	"Cervical disc disorders"	1	25	0	25
"O73"	"M75"	"Retained placenta and membranes, without hemorrhage"	"Shoulder lesions"	1	115	2	117
"O73"	"N39"	"Retained placenta and membranes, without hemorrhage"	"Other disorders of urinary system"	1	173	34	207
"O73"	"N92"	"Retained placenta and membranes, without hemorrhage"	"Excessive, frequent and irregular menstruation"	1	389	36	425
"O75"	"A41"	"Oth complications of labor and delivery, NEC"	"Other sepsis"	1	106	23	129
"O75"	"C43"	"Oth complications of labor and delivery, NEC"	"Malignant melanoma of skin"	1	67	7	74
"O75"	"C53"	"Oth complications of labor and delivery, NEC"	"Malignant neoplasm of cervix uteri"	1	55	3	58
"O75"	"D25"	"Oth complications of labor and delivery, NEC"	"Leiomyoma of uterus"	1	199	0	199
"O75"	"D50"	"Oth complications of labor and delivery, NEC"	"Iron deficiency anemia"	1	170	4	174
"O75"	"D64"	"Oth complications of labor and delivery, NEC"	"Other anemias"	1	144	12	156
"O75"	"E11"	"Oth complications of labor and delivery, NEC"	"Type 2 diabetes mellitus"	1	102	0	102
"O75"	"E65"	"Oth complications of labor and delivery, NEC"	"Localized adiposity"	1	249	16	265
"O75"	"E68"	"Oth complications of labor and delivery, NEC"	"Sequelae of hyperalimentation"	1	165	0	165
"O75"	"E78"	"Oth complications of labor and delivery, NEC"	"Disorders of lipoprotein metabolism and other lipidemias"	1	77	0	77
"O75"	"F33"	"Oth complications of labor and delivery, NEC"	"Major depressive disorder, recurrent"	1	128	51	179
"O75"	"G43"	"Oth complications of labor and delivery, NEC"	"Migraine"	1	337	161	498
"O75"	"G45"	"Oth complications of labor and delivery, NEC"	"Transient cerebral ischemic attacks and related syndromes"	1	44	0	44
"O75"	"G96"	"Oth complications of labor and delivery, NEC"	"Other disorders of central nervous system"	1	112	6	118
"O75"	"H53"	"Oth complications of labor and delivery, NEC"	"Visual disturbances"	1	91	29	120
"O75"	"H81"	"Oth complications of labor and delivery, NEC"	"Disorders of vestibular function"	1	151	23	174
"O75"	"I10"	"Oth complications of labor and delivery, NEC"	"Essential (primary) hypertension"	1	321	0	321
"O75"	"I15"	"Oth complications of labor and delivery, NEC"	"Secondary hypertension"	1	45	4	49
"O75"	"I48"	"Oth complications of labor and delivery, NEC"	"Atrial fibrillation and flutter"	1	43	0	43
"O75"	"I50"	"Oth complications of labor and delivery, NEC"	"Heart failure"	1	28	2	30
"O75"	"I80"	"Oth complications of labor and delivery, NEC"	"Phlebitis and thrombophlebitis"	1	118	48	166
"O75"	"J06"	"Oth complications of labor and delivery, NEC"	"Acute upper resp infections of multiple and unsp sites"	1	145	20	165
"O75"	"J15"	"Oth complications of labor and delivery, NEC"	"Bacterial pneumonia, not elsewhere classified"	1	139	25	164
"O75"	"J96"	"Oth complications of labor and delivery, NEC"	"Respiratory failure, not elsewhere classified"	1	53	11	64
"O75"	"K57"	"Oth complications of labor and delivery, NEC"	"Diverticular disease of intestine"	1	38	0	38
"O75"	"K59"	"Oth complications of labor and delivery, NEC"	"Other functional intestinal disorders"	1	323	200	523
"O75"	"K63"	"Oth complications of labor and delivery, NEC"	"Other diseases of intestine"	1	39	4	43
"O75"	"K90"	"Oth complications of labor and delivery, NEC"	"Intestinal malabsorption"	1	48	10	58
"O75"	"L98"	"Oth complications of labor and delivery, NEC"	"Oth disorders of skin, subcu, not elsewhere classified"	1	95	20	115
"O75"	"M16"	"Oth complications of labor and delivery, NEC"	"Osteoarthritis of hip"	1	44	0	44
"O75"	"M20"	"Oth complications of labor and delivery, NEC"	"Acquired deformities of fingers and toes"	1	156	77	233
"O75"	"M25"	"Oth complications of labor and delivery, NEC"	"Other joint disorder, not elsewhere classified"	1	353	72	425
"O75"	"M51"	"Oth complications of labor and delivery, NEC"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	1	562	19	581
"O75"	"M53"	"Oth complications of labor and delivery, NEC"	"Other and unspecified dorsopathies, not elsewhere classified"	1	183	39	222
"O75"	"M54"	"Oth complications of labor and delivery, NEC"	"Dorsalgia"	1	888	363	1251
"O75"	"M70"	"Oth complications of labor and delivery, NEC"	"Soft tissue disorders related to use, overuse and pressure"	1	115	35	150
"O75"	"M75"	"Oth complications of labor and delivery, NEC"	"Shoulder lesions"	1	484	0	484
"O75"	"M77"	"Oth complications of labor and delivery, NEC"	"Other enthesopathies"	1	186	28	214
"O75"	"N20"	"Oth complications of labor and delivery, NEC"	"Calculus of kidney and ureter"	1	234	102	336
"O75"	"N61"	"Oth complications of labor and delivery, NEC"	"Inflammatory disorders of breast"	1	117	15	132
"O75"	"N63"	"Oth complications of labor and delivery, NEC"	"Unspecified lump in breast"	1	359	124	483
"O75"	"N81"	"Oth complications of labor and delivery, NEC"	"Female genital prolapse"	1	987	0	987
"O75"	"N94"	"Oth complications of labor and delivery, NEC"	"Pain and oth cond assoc w fem gntl org and menstrual cycle"	1	599	332	931
"O75"	"O90"	"Oth complications of labor and delivery, NEC"	"Complications of the puerperium, not elsewhere classified"	1	1920	1214	3134
"O75"	"O91"	"Oth complications of labor and delivery, NEC"	"Infect of breast assoc w pregnancy, the puerp and lactation"	1	1062	296	1358
"O80"	"A04"	"Encounter for full-term uncomplicated delivery"	"Other bacterial intestinal infections"	1	269	109	378
"O80"	"A18"	"Encounter for full-term uncomplicated delivery"	"Tuberculosis of other organs"	1	157	74	231
"O80"	"A26"	"Encounter for full-term uncomplicated delivery"	"Erysipeloid"	1	29	0	29
"O80"	"A40"	"Encounter for full-term uncomplicated delivery"	"Streptococcal sepsis"	1	137	0	137
"O80"	"A48"	"Encounter for full-term uncomplicated delivery"	"Other bacterial diseases, not elsewhere classified"	1	40	3	43
"O80"	"A54"	"Encounter for full-term uncomplicated delivery"	"Gonococcal infection"	1	146	17	163
"O80"	"A69"	"Encounter for full-term uncomplicated delivery"	"Other spirochetal infections"	1	206	26	232
"O80"	"B00"	"Encounter for full-term uncomplicated delivery"	"Herpesviral [herpes simplex] infections"	1	314	161	475
"O80"	"B02"	"Encounter for full-term uncomplicated delivery"	"Zoster [herpes zoster]"	1	180	18	198
"O80"	"B18"	"Encounter for full-term uncomplicated delivery"	"Chronic viral hepatitis"	1	579	62	641
"O80"	"B25"	"Encounter for full-term uncomplicated delivery"	"Cytomegaloviral disease"	1	119	28	147
"O80"	"B80"	"Encounter for full-term uncomplicated delivery"	"Enterobiasis"	1	51	4	55
"O80"	"B95"	"Encounter for full-term uncomplicated delivery"	"Strep as the cause of diseases classified elsewhere"	1	328	55	383
"O80"	"C16"	"Encounter for full-term uncomplicated delivery"	"Malignant neoplasm of stomach"	1	28	0	28
"O80"	"C34"	"Encounter for full-term uncomplicated delivery"	"Malignant neoplasm of bronchus and lung"	1	69	0	69
"O80"	"C56"	"Encounter for full-term uncomplicated delivery"	"Malignant neoplasm of ovary"	1	135	0	135
"O80"	"C77"	"Encounter for full-term uncomplicated delivery"	"Secondary and unspecified malignant neoplasm of lymph nodes"	1	277	0	277
"O80"	"C78"	"Encounter for full-term uncomplicated delivery"	"Secondary malignant neoplasm of resp and digestive organs"	1	188	0	188
"O80"	"C80"	"Encounter for full-term uncomplicated delivery"	"Malignant neoplasm without specification of site"	1	25	0	25
"O80"	"D04"	"Encounter for full-term uncomplicated delivery"	"Carcinoma in situ of skin"	1	25	0	25
"O80"	"D06"	"Encounter for full-term uncomplicated delivery"	"Carcinoma in situ of cervix uteri"	1	1427	702	2129
"O80"	"D07"	"Encounter for full-term uncomplicated delivery"	"Carcinoma in situ of other and unspecified genital organs"	1	115	0	115
"O80"	"D11"	"Encounter for full-term uncomplicated delivery"	"Benign neoplasm of major salivary glands"	1	367	10	377
"O80"	"D12"	"Encounter for full-term uncomplicated delivery"	"Benign neoplasm of colon, rectum, anus and anal canal"	1	663	0	663
"O80"	"D13"	"Encounter for full-term uncomplicated delivery"	"Benign neoplasm of and ill-defined parts of digestive system"	1	220	0	220
"O80"	"D14"	"Encounter for full-term uncomplicated delivery"	"Benign neoplasm of middle ear and respiratory system"	1	291	0	291
"O80"	"D17"	"Encounter for full-term uncomplicated delivery"	"Benign lipomatous neoplasm"	1	2076	0	2076
"O80"	"D24"	"Encounter for full-term uncomplicated delivery"	"Benign neoplasm of breast"	1	4321	0	4321
"O80"	"D27"	"Encounter for full-term uncomplicated delivery"	"Benign neoplasm of ovary"	1	2563	641	3204
"O80"	"D28"	"Encounter for full-term uncomplicated delivery"	"Benign neoplasm of other and unsp female genital organs"	1	779	136	915
"O80"	"D31"	"Encounter for full-term uncomplicated delivery"	"Benign neoplasm of eye and adnexa"	1	118	0	118
"O80"	"D32"	"Encounter for full-term uncomplicated delivery"	"Benign neoplasm of meninges"	1	88	0	88
"O80"	"D35"	"Encounter for full-term uncomplicated delivery"	"Benign neoplasm of other and unspecified endocrine glands"	1	239	0	239
"O80"	"D36"	"Encounter for full-term uncomplicated delivery"	"Benign neoplasm of other and unspecified sites"	1	188	22	210
"O80"	"D37"	"Encounter for full-term uncomplicated delivery"	"Neoplasm of uncrt behavior of oral cavity and dgstv organs"	1	28	1	29
"O80"	"D39"	"Encounter for full-term uncomplicated delivery"	"Neoplasm of uncertain behavior of female genital organs"	1	117	48	165
"O80"	"D44"	"Encounter for full-term uncomplicated delivery"	"Neoplasm of uncertain behavior of endocrine glands"	1	29	2	31
"O80"	"D47"	"Encounter for full-term uncomplicated delivery"	"Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss"	1	54	0	54
"O80"	"D50"	"Encounter for full-term uncomplicated delivery"	"Iron deficiency anemia"	1	1244	0	1244
"O80"	"D52"	"Encounter for full-term uncomplicated delivery"	"Folate deficiency anemia"	1	37	1	38
"O80"	"D53"	"Encounter for full-term uncomplicated delivery"	"Other nutritional anemias"	1	44	3	47
"O80"	"D61"	"Encounter for full-term uncomplicated delivery"	"Oth aplastic anemias and other bone marrow failure syndromes"	1	50	0	50
"O80"	"D62"	"Encounter for full-term uncomplicated delivery"	"Acute posthemorrhagic anemia"	1	601	4	605
"O80"	"D63"	"Encounter for full-term uncomplicated delivery"	"Anemia in chronic diseases classified elsewhere"	1	72	0	72
"O80"	"D64"	"Encounter for full-term uncomplicated delivery"	"Other anemias"	1	1402	0	1402
"O80"	"D69"	"Encounter for full-term uncomplicated delivery"	"Purpura and other hemorrhagic conditions"	1	660	221	881
"O80"	"D75"	"Encounter for full-term uncomplicated delivery"	"Other and unsp diseases of blood and blood-forming organs"	1	139	0	139
"O80"	"D86"	"Encounter for full-term uncomplicated delivery"	"Sarcoidosis"	1	567	73	640
"O80"	"E03"	"Encounter for full-term uncomplicated delivery"	"Other hypothyroidism"	1	4055	0	4055
"O80"	"E04"	"Encounter for full-term uncomplicated delivery"	"Other nontoxic goiter"	1	4121	0	4121
"O80"	"E05"	"Encounter for full-term uncomplicated delivery"	"Thyrotoxicosis [hyperthyroidism]"	1	4319	0	4319
"O80"	"E06"	"Encounter for full-term uncomplicated delivery"	"Thyroiditis"	1	1391	0	1391
"O80"	"E10"	"Encounter for full-term uncomplicated delivery"	"Type 1 diabetes mellitus"	1	627	67	694
"O80"	"E22"	"Encounter for full-term uncomplicated delivery"	"Hyperfunction of pituitary gland"	1	277	121	398
"O80"	"E23"	"Encounter for full-term uncomplicated delivery"	"Hypofunction and other disorders of the pituitary gland"	1	209	0	209
"O80"	"E34"	"Encounter for full-term uncomplicated delivery"	"Other endocrine disorders"	1	199	40	239
"O80"	"E55"	"Encounter for full-term uncomplicated delivery"	"Vitamin D deficiency"	1	979	0	979
"O80"	"E56"	"Encounter for full-term uncomplicated delivery"	"Other vitamin deficiencies"	1	108	0	108
"O80"	"E61"	"Encounter for full-term uncomplicated delivery"	"Deficiency of other nutrient elements"	1	87	0	87
"O80"	"E72"	"Encounter for full-term uncomplicated delivery"	"Other disorders of amino-acid metabolism"	1	47	3	50
"O80"	"E73"	"Encounter for full-term uncomplicated delivery"	"Lactose intolerance"	1	358	35	393
"O80"	"E89"	"Encounter for full-term uncomplicated delivery"	"Postproc endocrine and metabolic comp and disorders, NEC"	1	565	6	571
"O80"	"F06"	"Encounter for full-term uncomplicated delivery"	"Other mental disorders due to known physiological condition"	1	59	0	59
"O80"	"F07"	"Encounter for full-term uncomplicated delivery"	"Personality & behavrl disorders due to known physiol cond"	1	90	16	106
"O80"	"F17"	"Encounter for full-term uncomplicated delivery"	"Nicotine dependence"	1	2165	0	2165
"O80"	"F31"	"Encounter for full-term uncomplicated delivery"	"Bipolar disorder"	1	118	0	118
"O80"	"F32"	"Encounter for full-term uncomplicated delivery"	"Depressive episode"	1	1803	0	1803
"O80"	"F40"	"Encounter for full-term uncomplicated delivery"	"Phobic anxiety disorders"	1	488	167	655
"O80"	"F41"	"Encounter for full-term uncomplicated delivery"	"Other anxiety disorders"	1	1522	0	1522
"O80"	"F44"	"Encounter for full-term uncomplicated delivery"	"Dissociative and conversion disorders"	1	161	23	184
"O80"	"F52"	"Encounter for full-term uncomplicated delivery"	"Sexual dysfnct not due to a substance or known physiol cond"	1	423	96	519
"O80"	"F60"	"Encounter for full-term uncomplicated delivery"	"Specific personality disorders"	1	318	59	377
"O80"	"F90"	"Encounter for full-term uncomplicated delivery"	"Attention-deficit hyperactivity disorders"	1	97	16	113
"O80"	"F99"	"Encounter for full-term uncomplicated delivery"	"Mental disorder, not otherwise specified"	1	198	96	294
